"大分類カテゴリーコード","大分類カテゴリー","中分類カテゴリーコード","中分類カテゴリー","小分類カテゴリーコード","小分類カテゴリー"
"100000018","生活用品・雑貨","200000135","生活雑貨","300000486","傘･レインコート"
"100000018","生活用品・雑貨","200000135","生活雑貨","300000487","虫除け・殺虫剤"
"100000018","生活用品・雑貨","200000135","生活雑貨","300000488","ギフト・イベントグッズ"
"100000018","生活用品・雑貨","200000135","生活雑貨","300000489","その他 生活雑貨"
"100000018","生活用品・雑貨","200000136","生活用品","300000490","柔軟剤"
"100000018","生活用品・雑貨","200000136","生活用品","300000491","キッチン洗剤"
"100000018","生活用品・雑貨","200000136","生活用品","300000492","除湿剤・芳香剤"
"100000018","生活用品・雑貨","200000136","生活用品","300000493","洗濯用品"
"100000018","生活用品・雑貨","200000136","生活用品","300000494","掃除道具"
"100000018","生活用品・雑貨","200000136","生活用品","300000495","その他 生活用品"
"100000040","ペット用品","200000475","犬用品","300000534","犬洋服"
"100000040","ペット用品","200000475","犬用品","300000535","ドッグフード"
"100000020","食品","200000149","スイーツ・お菓子","300000536","洋菓子"
"100000020","食品","200000149","スイーツ・お菓子","300000537","和菓子"
"100000020","食品","200000561","ジャム・シロップ","300000538","ジャム"
"100000020","食品","200000149","スイーツ・お菓子","300000539","その他スイーツ・お菓子"
"100000020","食品","200000150","魚介類・海産物","300000540","生鮮・貝類"
"100000020","食品","200000150","魚介類・海産物","300000541","干物・薫製"
"100000020","食品","200000150","魚介類・海産物","300000542","水産物加工品"
"100000020","食品","200000150","魚介類・海産物","300000543","その他水産物"
"100000055","米・雑穀","200000151","米","300000544","米"
"100000055","米・雑穀","200000617","雑穀","300000545","雑穀ミックス"
"100000020","食品","200000560","ナッツ・シリアル","300000546","シリアル"
"100000020","食品","200000155","惣菜・食材・おせち","300000561","中華料理・惣菜"
"100000020","食品","200000155","惣菜・食材・おせち","300000562","レトルト食品"
"100000020","食品","200000156","野菜・きのこ","300000564","その他野菜"
"100000020","食品","200000157","キムチ・漬け物・梅干し","300000565","漬け物"
"100000020","食品","200000157","キムチ・漬け物・梅干し","300000566","梅干し"
"100000020","食品","200000158","調味料・ソース・油","300000568","その他調味料"
"100000020","食品","200000159","缶詰・瓶詰","300000569","缶詰"
"100000020","食品","200000160","乾物・粉類","300000570","乾物"
"100000020","食品","200000161","チーズ・乳製品","300000571","バター・マーガリン・クリーム"
"100000020","食品","200000162","韓国食品","300000572","韓国キムチ・漬け物"
"100000023","ダイエット・美容・コンタクト","200000187","ダイエットサプリメント","300000639","ダイエットサプリメント"
"100000035","健康食品・サプリ","200000188","ダイエット食品","300000640","その他ダイエット食品"
"100000023","ダイエット・美容・コンタクト","200000189","健康用品/その他","300000641","健康用品/その他"
"100000030","DVD・Blu-ray","220000016","その他","320000070","その他"
"100000026","ホビー・コスプレ","200000213","趣味・コレクション","320000071","アダルトDVD・雑誌"
"120000006","楽器・音響機器","220000018","ギター","320000072","エレキギター"
"120000006","楽器・音響機器","220000018","ギター","320000073","アコースティックギター"
"120000006","楽器・音響機器","220000018","ギター","320000074","エレクトリックアコースティックギター"
"120000006","楽器・音響機器","220000018","ギター","320000075","その他"
"120000006","楽器・音響機器","220000019","ベース","320000076","エレキベース"
"120000006","楽器・音響機器","220000019","ベース","320000077","アコースティックベース"
"120000006","楽器・音響機器","220000019","ベース","320000078","その他"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000079","チューナー"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000080","ストラップ"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000081","シールド"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000082","ピック"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000083","ケース"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000084","ギター弦"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000085","ベース弦"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000086","ギターアンプ"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000087","ベースアンプ"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000088","エフェクター（ギター用）"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000089","エフェクター（ベース用）"
"120000006","楽器・音響機器","220000021","ウクレレ","320000090","ウクレレ本体"
"120000006","楽器・音響機器","220000021","ウクレレ","320000091","その他"
"120000006","楽器・音響機器","220000022","ドラム","320000092","ドラムセット"
"120000006","楽器・音響機器","220000022","ドラム","320000093","電子ドラム"
"120000006","楽器・音響機器","220000022","ドラム","320000094","フットペダル"
"120000006","楽器・音響機器","220000022","ドラム","320000095","ドラムスティック"
"120000006","楽器・音響機器","220000022","ドラム","320000096","その他"
"120000006","楽器・音響機器","220000023","パーカッション・打楽器","320000097","パーカッション"
"120000006","楽器・音響機器","220000023","パーカッション・打楽器","320000098","カスタネット"
"120000006","楽器・音響機器","220000023","パーカッション・打楽器","320000099","タンバリン"
"120000006","楽器・音響機器","220000023","パーカッション・打楽器","320000100","トライアングル"
"120000006","楽器・音響機器","220000023","パーカッション・打楽器","320000101","その他"
"120000006","楽器・音響機器","220000024","ピアノ・鍵盤楽器","320000102","電子ピアノ"
"120000006","楽器・音響機器","220000024","ピアノ・鍵盤楽器","320000103","キーボード・シンセサイザー"
"120000006","楽器・音響機器","220000024","ピアノ・鍵盤楽器","320000104","アップライトピアノ"
"120000006","楽器・音響機器","220000024","ピアノ・鍵盤楽器","320000105","グランドピアノ"
"120000006","楽器・音響機器","220000024","ピアノ・鍵盤楽器","320000106","鍵盤ハーモニカ"
"120000006","楽器・音響機器","220000024","ピアノ・鍵盤楽器","320000107","その他"
"120000006","楽器・音響機器","220000025","弦楽器","320000108","バイオリン"
"120000006","楽器・音響機器","220000025","弦楽器","320000109","ビオラ"
"120000006","楽器・音響機器","220000025","弦楽器","320000110","チェロ"
"120000006","楽器・音響機器","220000025","弦楽器","320000111","コントラバス"
"120000006","楽器・音響機器","220000025","弦楽器","320000112","ハープ"
"120000006","楽器・音響機器","220000025","弦楽器","320000113","マンドリン"
"120000006","楽器・音響機器","220000025","弦楽器","320000114","その他"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000115","リコーダー"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000116","ハーモニカー"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000117","フルート"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000118","オーボエ"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000119","クラリネット"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000120","トランペット"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000121","トロンボーン"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000122","ピッコロ"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000123","ホルン"
"120000006","楽器・音響機器","220000026","管楽器・吹奏楽器","320000124","その他"
"120000006","楽器・音響機器","220000027","和楽器・民族楽器","320000125","笛"
"120000006","楽器・音響機器","220000027","和楽器・民族楽器","320000126","三味線"
"120000006","楽器・音響機器","220000027","和楽器・民族楽器","320000127","琴・筝"
"120000006","楽器・音響機器","220000027","和楽器・民族楽器","320000128","民族楽器"
"120000006","楽器・音響機器","220000027","和楽器・民族楽器","320000129","その他"
"120000006","楽器・音響機器","220000028","DTM・DAW","320000130","DAWソフト"
"120000006","楽器・音響機器","220000028","DTM・DAW","320000131","オーディオインターフェース"
"120000006","楽器・音響機器","220000028","DTM・DAW","320000132","MIDIキーボード・パッド"
"120000006","楽器・音響機器","220000028","DTM・DAW","320000133","ソフトウェア音源"
"120000006","楽器・音響機器","220000028","DTM・DAW","320000134","ハードウェア音源"
"120000006","楽器・音響機器","220000029","レコーディング・PA機材","320000135","ポータプルPAシステム"
"120000006","楽器・音響機器","220000029","レコーディング・PA機材","320000136","ミキサー"
"120000006","楽器・音響機器","220000029","レコーディング・PA機材","320000137","スピーカー"
"120000006","楽器・音響機器","220000029","レコーディング・PA機材","320000138","その他"
"120000006","楽器・音響機器","220000030","DJ機材","320000139","CDJ"
"120000006","楽器・音響機器","220000030","DJ機材","320000140","PCDJ"
"120000006","楽器・音響機器","220000030","DJ機材","320000141","DJミキサー"
"120000006","楽器・音響機器","220000030","DJ機材","320000142","DJコントローラー"
"120000006","楽器・音響機器","220000030","DJ機材","320000143","その他"
"120000006","楽器・音響機器","220000020","ギター・ベース周辺機器","320000144","その他"
"120000006","楽器・音響機器","220000028","DTM・DAW","320000145","その他"
"120000006","楽器・音響機器","220000031","その他楽器関連商品","320000146","その他楽器関連商品"
"100000052","スマホ本体・アクセサリー","220000032","ネットワーク用品","320000147","Wi-Fiルーター"
"100000025","CD","220000033","アニメ・ゲーム","320000149","アニメ"
"100000025","CD","220000033","アニメ・ゲーム","320000150","ゲーム"
"100000025","CD","200000393","ロック・ポップス","320000151","ポップス"
"100000025","CD","200000387","ジャズ ・フュージョン","320000152","フュージョン"
"100000025","CD","220000035","ラップ・ヒップホップ","320000155","ラップ・ヒップホップ"
"100000025","CD","220000036","ダンス・ユーロビート","320000156","ダンス・ユーロビート"
"100000025","CD","220000037","ヘヴィメタル・ハードロック","320000157","ヘヴィメタル・ハードロック"
"100000025","CD","220000038","ワールドミュージック・レゲェ","320000158","ワールドミュージック"
"100000025","CD","220000038","ワールドミュージック・レゲェ","320000159","レゲェ"
"100000025","CD","220000038","ワールドミュージック・レゲェ","320000160","その他"
"100000025","CD","200000390","ファミリー","320000162","その他"
"100000025","CD","200000394","歌謡曲・演歌","320000163","演歌"
"100000025","CD","200000396","純邦楽・落語・民謡","320000164","落語"
"100000025","CD","200000382","BGM・サウンドトラック","320000165","サウンドトラック"
"100000030","DVD・Blu-ray","200000406","邦画","320000166","アクション・アドベンチャー"
"100000030","DVD・Blu-ray","200000406","邦画","320000167","SF・ファンタジー"
"100000030","DVD・Blu-ray","200000406","邦画","320000168","ラブロマンス"
"100000030","DVD・Blu-ray","200000406","邦画","320000169","ドキュメンタリー"
"100000030","DVD・Blu-ray","200000406","邦画","320000170","コメディ"
"100000030","DVD・Blu-ray","200000406","邦画","320000171","ミステリー・サスペンス"
"100000030","DVD・Blu-ray","200000406","邦画","320000172","ホラー"
"100000030","DVD・Blu-ray","200000406","邦画","320000173","パニック"
"100000030","DVD・Blu-ray","200000406","邦画","320000174","時代劇"
"100000030","DVD・Blu-ray","200000406","邦画","320000175","戦争"
"100000030","DVD・Blu-ray","200000406","邦画","320000176","青春・学園"
"100000030","DVD・Blu-ray","200000406","邦画","320000177","ミュージカル"
"100000030","DVD・Blu-ray","200000408","洋画","320000178","ラブロマンス"
"100000030","DVD・Blu-ray","200000408","洋画","320000179","ホラー"
"100000030","DVD・Blu-ray","200000408","洋画","320000180","パニック"
"100000030","DVD・Blu-ray","200000408","洋画","320000181","時代劇"
"100000030","DVD・Blu-ray","200000408","洋画","320000182","戦争"
"100000030","DVD・Blu-ray","200000408","洋画","320000183","青春・学園"
"100000030","DVD・Blu-ray","200000399","アジア映画","320000184","中国・台湾"
"100000030","DVD・Blu-ray","200000400","アニメ","320000185","海外アニメ"
"100000030","DVD・Blu-ray","200000405","ファミリー・キッズ","320000186","アニメ"
"100000030","DVD・Blu-ray","200000405","ファミリー・キッズ","320000187","知育・教育"
"100000030","DVD・Blu-ray","200000405","ファミリー・キッズ","320000188","のりもの"
"100000030","DVD・Blu-ray","200000405","ファミリー・キッズ","320000189","動物"
"100000030","DVD・Blu-ray","200000405","ファミリー・キッズ","320000190","ヒーロー・戦隊"
"100000030","DVD・Blu-ray","220000039","お笑い・バラエティ","320000191","お笑い"
"100000030","DVD・Blu-ray","220000039","お笑い・バラエティ","320000192","バラエティ"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000193","サッカー"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000194","ゴルフ"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000195","バスケットボール"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000196","格闘技"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000197","プロレス"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000198","相撲"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000199","モータースポーツ"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000200","ウィンタースポーツ"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000201","マリンスポーツ"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000202","ギャンブル"
"100000030","DVD・Blu-ray","200000404","スポーツ","320000203","ダンス・バレェ"
"100000030","DVD・Blu-ray","200000403","ミュージック","320000206","邦楽"
"100000030","DVD・Blu-ray","200000403","ミュージック","320000207","洋楽"
"100000030","DVD・Blu-ray","200000403","ミュージック","320000208","アジア音楽"
"100000030","DVD・Blu-ray","200000403","ミュージック","320000209","その他"
"100000030","DVD・Blu-ray","200000398","TVドラマ","320000210","中国・台湾"
"100000022","お酒・ビール・ワイン","220000046","ノンアルコール","320000258","その他ノンアルコール"
"100000039","eチケット・サービス","220000049","サービス","320000260","サービス"
"100000026","ホビー・コスプレ","200000214","パーティー","320000261","ウエディング"
"100000026","ホビー・コスプレ","200000214","パーティー","320000262","花火"
"100000026","ホビー・コスプレ","200000215","祭事・骨董品・美術","320000263","祭事"
"100000018","生活用品・雑貨","220000047","ギフト券","320000266","ギフト券"
"100000013","スマホケース・保護フィルム","200000490","iPhone","320000267","iPhone Xs"
"100000013","スマホケース・保護フィルム","200000490","iPhone","320000268","iPhone XR"
"100000013","スマホケース・保護フィルム","200000490","iPhone","320000269","iPhone Xs Max"
"100000001","レディース服","200000002","ワンピース","300000007","キャミ・ベアワンピ"
"100000001","レディース服","200000002","ワンピース","300000008","プリント・柄ワンピ"
"100000001","レディース服","200000540","キャミソール・タンクトップ","300000012","キャミソール"
"100000001","レディース服","200000003","ブラウス","300000013","シフォンブラウス"
"100000001","レディース服","200000003","ブラウス","300000014","その他ブラウス"
"100000001","レディース服","200000004","Tシャツ・カットソー","300000016","半袖"
"100000001","レディース服","200000004","Tシャツ・カットソー","300000017","ノースリーブ"
"100000001","レディース服","200000004","Tシャツ・カットソー","300000018","長袖"
"100000001","レディース服","200000004","Tシャツ・カットソー","300000019","ユニークデザイン"
"100000001","レディース服","200000007","ニット","300000025","クルーネック"
"100000001","レディース服","200000541","カーディガン","300000026","その他カーディガン"
"100000001","レディース服","200000007","ニット","300000027","タートルネック"
"100000001","レディース服","200000007","ニット","300000028","その他ニット"
"100000049","下着・ソックス","200000500","ブラジャー","300000029","ブラジャー"
"100000049","下着・ソックス","200000501","ショーツ","300000030","ショーツ"
"100000049","下着・ソックス","200000503","補正下着","300000031","補正下着・ガードル"
"100000049","下着・ソックス","200000507","セクシーランジェリー","300000032","ランジェリー"
"100000016","キッズファッション","200000123","女の子ファッション","300002243","雨具・その他"
"100000016","キッズファッション","200000124","男の子ファッション","300002244","フォーマルセット・その他"
"100000001","レディース服","200000001","スーツ・ドレス・フォーマル","300002246","パンツスーツ"
"100000001","レディース服","200000001","スーツ・ドレス・フォーマル","300002247","スカートスーツ"
"100000001","レディース服","200000001","スーツ・ドレス・フォーマル","300002248","ワンピーススーツ"
"100000001","レディース服","200000001","スーツ・ドレス・フォーマル","300002249","フォーマルスーツ"
"100000001","レディース服","200000002","ワンピース","300002250","シャツワンピ"
"100000001","レディース服","200000538","オールインワン・セットアップ","300002251","その他オールインワン"
"100000001","レディース服","200000004","Tシャツ・カットソー","300002252","カットソー"
"100000001","レディース服","200000002","ワンピース","300002253","チュニック"
"100000001","レディース服","200000004","Tシャツ・カットソー","300002254","ポロシャツ"
"100000001","レディース服","200000539","シャツ","300002255","ダンガリーシャツ"
"100000001","レディース服","200000540","キャミソール・タンクトップ","300002256","タンクトップ"
"100000006","コスメティック","200000059","男性用化粧品","300000719","香水"
"100000012","テレビ・カメラ・オーディオ","200000221","カメラバッグ・ケース","300000722","カメラケース"
"100000012","テレビ・カメラ・オーディオ","200000221","カメラバッグ・ケース","300000723","カメラバック"
"100000012","テレビ・カメラ・オーディオ","200000221","カメラバッグ・ケース","300000724","防水ケース・カバー"
"100000012","テレビ・カメラ・オーディオ","200000222","カメラ周辺機器","300000727","三脚・一脚"
"100000012","テレビ・カメラ・オーディオ","200000222","カメラ周辺機器","300000728","ストラップ"
"100000012","テレビ・カメラ・オーディオ","200000222","カメラ周辺機器","300000729","フラッシュ"
"100000012","テレビ・カメラ・オーディオ","200000222","カメラ周辺機器","300000730","その他カメラ周辺機器"
"100000052","スマホ本体・アクセサリー","220000017","モバイルバッテリー","300000743","モバイルバッテリー"
"100000050","香水･ブランドコスメ","200000515","エスティローダー","300000744","エスティローダー"
"100000042","シューズ","200000033","パンプス","300000745","ラウンドトゥ"
"100000042","シューズ","200000033","パンプス","300000746","ポインテッドトゥ"
"100000044","メンズバッグ・シューズ・小物","200000032","メンズシューズ","300000748","ブーツ"
"100000042","シューズ","200000225","ブーツ・ブーティー","300000749","ムートン"
"100000042","シューズ","200000225","ブーツ・ブーティー","300000750","ニーハイ"
